"","Age","Sex","Geo","Year","Population"
"272","TOTAL","M","MD",2014,1711506
"273","TOTAL","M","ME",2014,307155
"274","TOTAL","M","MK",2014,1034841
"275","TOTAL","M","MT",2014,212424
"276","TOTAL","M","NL",2014,8334385
"277","TOTAL","M","NO",2014,2567007
"278","TOTAL","M","PL",2014,18403964
"279","TOTAL","M","PT",2014,4958020
"280","TOTAL","M","RO",2014,9746052
"281","TOTAL","M","RS",2014,3479863
"282","TOTAL","M","RU",2014,66546888
"283","TOTAL","M","SE",2014,4814357
"284","TOTAL","M","SI",2014,1020874
"285","TOTAL","M","SK",2014,2639060
"286","TOTAL","M","SM",2014,NA
"287","TOTAL","M","TR",2014,38473360
"288","TOTAL","M","UA",2014,20918288
"289","TOTAL","M","UK",2014,31663214
"290","TOTAL","M","XK",2014,NA
"291","TOTAL","T","AD",2014,NA
"292","TOTAL","T","AL",2014,2895947
"293","TOTAL","T","AM",2014,NA
"294","TOTAL","T","AT",2014,8506889
"295","TOTAL","T","AZ",2014,9477119
"296","TOTAL","T","BA",2014,NA
"297","TOTAL","T","BE",2014,11203992
"298","TOTAL","T","BG",2014,7245677
"299","TOTAL","T","BY",2014,9468154
"300","TOTAL","T","CH",2014,8139631
"301","TOTAL","T","CY",2014,858000
"302","TOTAL","T","CZ",2014,10512419
"303","TOTAL","T","DE",2014,80767463
"304","TOTAL","T","DE_TOT",2014,80767463
"305","TOTAL","T","DK",2014,5627235
"306","TOTAL","T","EA18",2014,334529912
"307","TOTAL","T","EA19",2014,337473384
"308","TOTAL","T","EE",2014,1315819
"309","TOTAL","T","EEA30",2014,508168036
"310","TOTAL","T","EEA31",2014,512414845
"311","TOTAL","T","EFTA",2014,13610401
"312","TOTAL","T","EL",2014,10926807
"313","TOTAL","T","ES",2014,46512199
"314","TOTAL","T","EU27",2014,502697266
"315","TOTAL","T","EU28",2014,506944075
"316","TOTAL","T","FI",2014,5451270
"317","TOTAL","T","FR",2014,65889148
"318","TOTAL","T","FX",2014,NA
"319","TOTAL","T","GE",2014,4490498
"320","TOTAL","T","HR",2014,4246809
"321","TOTAL","T","HU",2014,9877365
"322","TOTAL","T","IE",2014,4605501
"323","TOTAL","T","IS",2014,325671
"324","TOTAL","T","IT",2014,60782668
"325","TOTAL","T","LI",2014,37129
"326","TOTAL","T","LT",2014,2943472
"327","TOTAL","T","LU",2014,549680
"328","TOTAL","T","LV",2014,2001468
"329","TOTAL","T","MC",2014,NA
"330","TOTAL","T","MD",2014,3557634
"331","TOTAL","T","ME",2014,621521
"332","TOTAL","T","MK",2014,2065769
"333","TOTAL","T","MT",2014,425384
"334","TOTAL","T","NL",2014,16829289
"335","TOTAL","T","NO",2014,5107970
"336","TOTAL","T","PL",2014,38017856
"337","TOTAL","T","PT",2014,10427301
"338","TOTAL","T","RO",2014,19947311
"339","TOTAL","T","RS",2014,7146759
"340","TOTAL","T","RU",2014,143666931
"341","TOTAL","T","SE",2014,9644864
"342","TOTAL","T","SI",2014,2061085
"343","TOTAL","T","SK",2014,5415949
"344","TOTAL","T","SM",2014,NA
"345","TOTAL","T","TR",2014,76667864
"346","TOTAL","T","UA",2014,45245894
"347","TOTAL","T","UK",2014,64351155
"348","TOTAL","T","XK",2014,NA
"349","TOTAL","F","AD",2013,37408
"350","TOTAL","F","AL",2013,NA
"351","TOTAL","F","AM",2013,NA
"352","TOTAL","F","AT",2013,4328238
"353","TOTAL","F","AZ",2013,4707690
"354","TOTAL","F","BA",2013,NA
"355","TOTAL","F","BE",2013,5674206
"356","TOTAL","F","BG",2013,3739479
"357","TOTAL","F","BY",2013,5066314
"358","TOTAL","F","CH",2013,4070536
"359","TOTAL","F","CY",2013,444842
"360","TOTAL","F","CZ",2013,5351776
"361","TOTAL","F","DE",2013,41673725
"362","TOTAL","F","DE_TOT",2013,41673725
"363","TOTAL","F","DK",2013,2823776
"364","TOTAL","F","EA18",2013,171229977
"365","TOTAL","F","EA19",2013,172832991
"366","TOTAL","F","EE",2013,704007
"367","TOTAL","F","EEA30",2013,259801615
"368","TOTAL","F","EEA31",2013,262007272
"369","TOTAL","F","EFTA",2013,6764913
"370","TOTAL","F","EL",2013,5637364
"371","TOTAL","F","ES",2013,23710130
"372","TOTAL","F","EU27",2013,257107238
"373","TOTAL","F","EU28",2013,259312895
"374","TOTAL","F","FI",2013,2760052
"375","TOTAL","F","FR",2013,33827685
"376","TOTAL","F","FX",2013,32831856
"377","TOTAL","F","GE",2013,NA
"378","TOTAL","F","HR",2013,2205657
"379","TOTAL","F","HU",2013,5192845
"380","TOTAL","F","IE",2013,2318297
"381","TOTAL","F","IS",2013,160419
"382","TOTAL","F","IT",2013,30795630
"383","TOTAL","F","LI",2013,18591
"384","TOTAL","F","LT",2013,1603014
