"","Age","Sex","Geo","Year","Population"
"4928","TOTAL","F","UA",1987,NA
"4929","TOTAL","F","UK",1987,29173506
"4930","TOTAL","F","XK",1987,NA
"4931","TOTAL","M","AD",1987,24828
"4932","TOTAL","M","AL",1987,NA
"4933","TOTAL","M","AM",1987,NA
"4934","TOTAL","M","AT",1987,3602199
"4935","TOTAL","M","AZ",1987,NA
"4936","TOTAL","M","BA",1987,NA
"4937","TOTAL","M","BE",1987,4816234
"4938","TOTAL","M","BG",1987,4437390
"4939","TOTAL","M","BY",1987,NA
"4940","TOTAL","M","CH",1987,3179911
"4941","TOTAL","M","CY",1987,274519
"4942","TOTAL","M","CZ",1987,5022614
"4943","TOTAL","M","DE",1987,29285381
"4944","TOTAL","M","DE_TOT",1987,37188995
"4945","TOTAL","M","DK",1987,2526020
"4946","TOTAL","M","EA18",1987,146358027
"4947","TOTAL","M","EA19",1987,NA
"4948","TOTAL","M","EE",1987,720578
"4949","TOTAL","M","EEA30",1987,NA
"4950","TOTAL","M","EEA31",1987,NA
"4951","TOTAL","M","EFTA",1987,5379898
"4952","TOTAL","M","EL",1987,4914765
"4953","TOTAL","M","ES",1987,18927075
"4954","TOTAL","M","EU27",1987,NA
"4955","TOTAL","M","EU28",1987,NA
"4956","TOTAL","M","FI",1987,2385866
"4957","TOTAL","M","FR",1987,NA
"4958","TOTAL","M","FX",1987,27125760
"4959","TOTAL","M","GE",1987,NA
"4960","TOTAL","M","HR",1987,2291276
"4961","TOTAL","M","HU",1987,5126602
"4962","TOTAL","M","IE",1987,1770250
"4963","TOTAL","M","IS",1987,122656
"4964","TOTAL","M","IT",1987,27493442
"4965","TOTAL","M","LI",1987,13395
"4966","TOTAL","M","LT",1987,1697006
"4967","TOTAL","M","LU",1987,179700
"4968","TOTAL","M","LV",1987,1209487
"4969","TOTAL","M","MC",1987,NA
"4970","TOTAL","M","MD",1987,NA
"4971","TOTAL","M","ME",1987,NA
"4972","TOTAL","M","MK",1987,NA
"4973","TOTAL","M","MT",1987,169196
"4974","TOTAL","M","NL",1987,7224323
"4975","TOTAL","M","NO",1987,2063936
"4976","TOTAL","M","PL",1987,NA
"4977","TOTAL","M","PT",1987,4839557
"4978","TOTAL","M","RO",1987,11296033
"4979","TOTAL","M","RS",1987,NA
"4980","TOTAL","M","RU",1987,NA
"4981","TOTAL","M","SE",1987,4137515
"4982","TOTAL","M","SI",1987,963410
"4983","TOTAL","M","SK",1987,2552671
"4984","TOTAL","M","SM",1987,NA
"4985","TOTAL","M","TR",1987,26237111
"4986","TOTAL","M","UA",1987,NA
"4987","TOTAL","M","UK",1987,27570391
"4988","TOTAL","M","XK",1987,NA
"4989","TOTAL","T","AD",1987,46976
"4990","TOTAL","T","AL",1987,3051923
"4991","TOTAL","T","AM",1987,NA
"4992","TOTAL","T","AT",1987,7572852
"4993","TOTAL","T","AZ",1987,NA
"4994","TOTAL","T","BA",1987,4379545
"4995","TOTAL","T","BE",1987,9864751
"4996","TOTAL","T","BG",1987,8966462
"4997","TOTAL","T","BY",1987,NA
"4998","TOTAL","T","CH",1987,6523413
"4999","TOTAL","T","CY",1987,550888
"5000","TOTAL","T","CZ",1987,10344119
"5001","TOTAL","T","DE",1987,61140461
"5002","TOTAL","T","DE_TOT",1987,77780338
"5003","TOTAL","T","DK",1987,5124794
"5004","TOTAL","T","EA18",1987,301803291
"5005","TOTAL","T","EA19",1987,NA
"5006","TOTAL","T","EE",1987,1546304
"5007","TOTAL","T","EEA30",1987,470496548
"5008","TOTAL","T","EEA31",1987,475227589
"5009","TOTAL","T","EFTA",1987,10970490
"5010","TOTAL","T","EL",1987,9985326
"5011","TOTAL","T","ES",1987,38586591
"5012","TOTAL","T","EU27",1987,466049471
"5013","TOTAL","T","EU28",1987,470780512
"5014","TOTAL","T","FI",1987,4925644
"5015","TOTAL","T","FR",1987,NA
"5016","TOTAL","T","FX",1987,55681780
"5017","TOTAL","T","GE",1987,NA
"5018","TOTAL","T","HR",1987,4731041
"5019","TOTAL","T","HU",1987,10621121
"5020","TOTAL","T","IE",1987,3545263
"5021","TOTAL","T","IS",1987,244157
"5022","TOTAL","T","IT",1987,56594487
"5023","TOTAL","T","LI",1987,27399
"5024","TOTAL","T","LT",1987,3597439
"5025","TOTAL","T","LU",1987,369500
"5026","TOTAL","T","LV",1987,2612068
"5027","TOTAL","T","MC",1987,NA
"5028","TOTAL","T","MD",1987,NA
"5029","TOTAL","T","ME",1987,NA
"5030","TOTAL","T","MK",1987,2052953
"5031","TOTAL","T","MT",1987,343334
"5032","TOTAL","T","NL",1987,14615125
"5033","TOTAL","T","NO",1987,4175521
"5034","TOTAL","T","PL",1987,37571771
"5035","TOTAL","T","PT",1987,10034846
"5036","TOTAL","T","RO",1987,22895058
"5037","TOTAL","T","RS",1987,NA
"5038","TOTAL","T","RU",1987,NA
"5039","TOTAL","T","SE",1987,8381519
"5040","TOTAL","T","SI",1987,1985486
"5041","TOTAL","T","SK",1987,5208708
"5042","TOTAL","T","SM",1987,NA
"5043","TOTAL","T","TR",1987,51791212
"5044","TOTAL","T","UA",1987,NA
"5045","TOTAL","T","UK",1987,56743897
"5046","TOTAL","T","XK",1987,NA
"5047","TOTAL","F","AD",1986,20898
"5048","TOTAL","F","AL",1986,NA
"5049","TOTAL","F","AM",1986,NA
"5050","TOTAL","F","AT",1986,3972356
"5051","TOTAL","F","AZ",1986,NA
"5052","TOTAL","F","BA",1986,NA
"5053","TOTAL","F","BE",1986,5046712
"5054","TOTAL","F","BG",1986,4516402
"5055","TOTAL","F","BY",1986,NA
"5056","TOTAL","F","CH",1986,3324453
"5057","TOTAL","F","CY",1986,273296
"5058","TOTAL","F","CZ",1986,5321474
"5059","TOTAL","F","DE",1986,31830458
"5060","TOTAL","F","DE_TOT",1986,40592848
"5061","TOTAL","F","DK",1986,2595710
"5062","TOTAL","F","EA18",1986,155094088
"5063","TOTAL","F","EA19",1986,NA
"5064","TOTAL","F","EE",1986,820097
"5065","TOTAL","F","EEA30",1986,NA
"5066","TOTAL","F","EEA31",1986,NA
"5067","TOTAL","F","EFTA",1986,5561556
"5068","TOTAL","F","EL",1986,5050772
"5069","TOTAL","F","ES",1986,19603253
"5070","TOTAL","F","EU27",1986,NA
"5071","TOTAL","F","EU28",1986,NA
"5072","TOTAL","F","FI",1986,2532884
"5073","TOTAL","F","FR",1986,NA
"5074","TOTAL","F","FX",1986,28408898
"5075","TOTAL","F","GE",1986,NA
"5076","TOTAL","F","HR",1986,2430335
"5077","TOTAL","F","HU",1986,5501882
"5078","TOTAL","F","IE",1986,1763217
"5079","TOTAL","F","IS",1986,120482
"5080","TOTAL","F","IT",1986,29097656
"5081","TOTAL","F","LI",1986,13833
"5082","TOTAL","F","LT",1986,1882381
"5083","TOTAL","F","LU",1986,188700
"5084","TOTAL","F","LV",1986,1391416
"5085","TOTAL","F","MC",1986,NA
"5086","TOTAL","F","MD",1986,NA
"5087","TOTAL","F","ME",1986,NA
"5088","TOTAL","F","MK",1986,NA
"5089","TOTAL","F","MT",1986,173032
"5090","TOTAL","F","NL",1986,7344892
"5091","TOTAL","F","NO",1986,2102788
"5092","TOTAL","F","PL",1986,NA
"5093","TOTAL","F","PT",1986,5193233
"5094","TOTAL","F","RO",1986,11538970
"5095","TOTAL","F","RS",1986,NA
"5096","TOTAL","F","RU",1986,NA
"5097","TOTAL","F","SE",1986,4231029
"5098","TOTAL","F","SI",1986,1001150
"5099","TOTAL","F","SK",1986,2639676
"5100","TOTAL","F","SM",1986,NA
"5101","TOTAL","F","TR",1986,25009333
"5102","TOTAL","F","UA",1986,NA
"5103","TOTAL","F","UK",1986,29103551
"5104","TOTAL","F","XK",1986,NA
"5105","TOTAL","M","AD",1986,23695
"5106","TOTAL","M","AL",1986,NA
"5107","TOTAL","M","AM",1986,NA
"5108","TOTAL","M","AT",1986,3594380
"5109","TOTAL","M","AZ",1986,NA
"5110","TOTAL","M","BA",1986,NA
"5111","TOTAL","M","BE",1986,4812183
"5112","TOTAL","M","BG",1986,4433478
"5113","TOTAL","M","BY",1986,NA
"5114","TOTAL","M","CH",1986,3160381
"5115","TOTAL","M","CY",1986,271309
"5116","TOTAL","M","CZ",1986,5018861
"5117","TOTAL","M","DE",1986,29190016
"5118","TOTAL","M","DE_TOT",1986,37067685
"5119","TOTAL","M","DK",1986,2520563
"5120","TOTAL","M","EA18",1986,145939634
"5121","TOTAL","M","EA19",1986,NA
"5122","TOTAL","M","EE",1986,713979
"5123","TOTAL","M","EEA30",1986,NA
"5124","TOTAL","M","EEA31",1986,NA
"5125","TOTAL","M","EFTA",1986,5351744
"5126","TOTAL","M","EL",1986,4898328
"5127","TOTAL","M","ES",1986,18881389
"5128","TOTAL","M","EU27",1986,NA
"5129","TOTAL","M","EU28",1986,NA
"5130","TOTAL","M","FI",1986,2377780
"5131","TOTAL","M","FR",1986,NA
"5132","TOTAL","M","FX",1986,27002340
"5133","TOTAL","M","GE",1986,NA
"5134","TOTAL","M","HR",1986,2281517
"5135","TOTAL","M","HU",1986,5138124
"5136","TOTAL","M","IE",1986,1770900
"5137","TOTAL","M","IS",1986,121721
"5138","TOTAL","M","IT",1986,27500167
"5139","TOTAL","M","LI",1986,13243
"5140","TOTAL","M","LT",1986,1678007
"5141","TOTAL","M","LU",1986,178510
"5142","TOTAL","M","LV",1986,1196300
"5143","TOTAL","M","MC",1986,NA
"5144","TOTAL","M","MD",1986,NA
"5145","TOTAL","M","ME",1986,NA
"5146","TOTAL","M","MK",1986,NA
"5147","TOTAL","M","MT",1986,167875
"5148","TOTAL","M","NL",1986,7184538
"5149","TOTAL","M","NO",1986,2056399
"5150","TOTAL","M","PL",1986,NA
"5151","TOTAL","M","PT",1986,4837388
"5152","TOTAL","M","RO",1986,11239654
"5153","TOTAL","M","RS",1986,NA
"5154","TOTAL","M","RU",1986,NA
"5155","TOTAL","M","SE",1986,4127110
"5156","TOTAL","M","SI",1986,945292
"5157","TOTAL","M","SK",1986,2539291
"5158","TOTAL","M","SM",1986,NA
"5159","TOTAL","M","TR",1986,25686215
"5160","TOTAL","M","UA",1986,NA
"5161","TOTAL","M","UK",1986,27515344
"5162","TOTAL","M","XK",1986,NA
"5163","TOTAL","T","AD",1986,44593
"5164","TOTAL","T","AL",1986,2993347
"5165","TOTAL","T","AM",1986,NA
"5166","TOTAL","T","AT",1986,7566736
"5167","TOTAL","T","AZ",1986,NA
"5168","TOTAL","T","BA",1986,4337350
"5169","TOTAL","T","BE",1986,9858895
"5170","TOTAL","T","BG",1986,8949880
"5171","TOTAL","T","BY",1986,NA
"5172","TOTAL","T","CH",1986,6484834
"5173","TOTAL","T","CY",1986,544605
"5174","TOTAL","T","CZ",1986,10340335
"5175","TOTAL","T","DE",1986,61020474
"5176","TOTAL","T","DE_TOT",1986,77660533
"5177","TOTAL","T","DK",1986,5116273
"5178","TOTAL","T","EA18",1986,301033722
"5179","TOTAL","T","EA19",1986,NA
"5180","TOTAL","T","EE",1986,1534076
"5181","TOTAL","T","EEA30",1986,469165195
"5182","TOTAL","T","EEA31",1986,473877047
"5183","TOTAL","T","EFTA",1986,10913300
"5184","TOTAL","T","EL",1986,9949100
"5185","TOTAL","T","ES",1986,38484642
"5186","TOTAL","T","EU27",1986,464736729
"5187","TOTAL","T","EU28",1986,469448581
"5188","TOTAL","T","FI",1986,4910664
"5189","TOTAL","T","FR",1986,NA
"5190","TOTAL","T","FX",1986,55411238
"5191","TOTAL","T","GE",1986,NA
"5192","TOTAL","T","HR",1986,4711852
"5193","TOTAL","T","HU",1986,10640006
"5194","TOTAL","T","IE",1986,3534117
"5195","TOTAL","T","IS",1986,242203
"5196","TOTAL","T","IT",1986,56597823
"5197","TOTAL","T","LI",1986,27076
"5198","TOTAL","T","LT",1986,3560388
"5199","TOTAL","T","LU",1986,367210
"5200","TOTAL","T","LV",1986,2587716
"5201","TOTAL","T","MC",1986,NA
"5202","TOTAL","T","MD",1986,NA
"5203","TOTAL","T","ME",1986,NA
"5204","TOTAL","T","MK",1986,2029175
"5205","TOTAL","T","MT",1986,340907
"5206","TOTAL","T","NL",1986,14529430
"5207","TOTAL","T","NO",1986,4159187
"5208","TOTAL","T","PL",1986,37340467
"5209","TOTAL","T","PT",1986,10030621
"5210","TOTAL","T","RO",1986,22778624
"5211","TOTAL","T","RS",1986,NA
"5212","TOTAL","T","RU",1986,NA
"5213","TOTAL","T","SE",1986,8358139
"5214","TOTAL","T","SI",1986,1946442
"5215","TOTAL","T","SK",1986,5178967
"5216","TOTAL","T","SM",1986,NA
"5217","TOTAL","T","TR",1986,50695548
"5218","TOTAL","T","UA",1986,NA
"5219","TOTAL","T","UK",1986,56618895
"5220","TOTAL","T","XK",1986,NA
"5221","TOTAL","F","AD",1985,NA
"5222","TOTAL","F","AL",1985,NA
"5223","TOTAL","F","AM",1985,NA
"5224","TOTAL","F","AT",1985,3975117
"5225","TOTAL","F","AZ",1985,NA
"5226","TOTAL","F","BA",1985,NA
"5227","TOTAL","F","BE",1985,5046163
"5228","TOTAL","F","BG",1985,4514813
"5229","TOTAL","F","BY",1985,NA
"5230","TOTAL","F","CH",1985,3310638
"5231","TOTAL","F","CY",1985,270429
"5232","TOTAL","F","CZ",1985,5319646
"5233","TOTAL","F","DE",1985,31869535
"5234","TOTAL","F","DE_TOT",1985,40661086
"5235","TOTAL","F","DK",1985,2594036
"5236","TOTAL","F","EA18",1985,154836370
"5237","TOTAL","F","EA19",1985,NA
"5238","TOTAL","F","EE",1985,815398
"5239","TOTAL","F","EEA30",1985,240599164
"5240","TOTAL","F","EEA31",1985,243019087
"5241","TOTAL","F","EFTA",1985,5539562
"5242","TOTAL","F","EL",1985,5040100
"5243","TOTAL","F","ES",1985,19532780
"5244","TOTAL","F","EU27",1985,238370240
"5245","TOTAL","F","EU28",1985,240790163
"5246","TOTAL","F","FI",1985,2524520
"5247","TOTAL","F","FR",1985,NA
"5248","TOTAL","F","FX",1985,28267183
"5249","TOTAL","F","GE",1985,NA
"5250","TOTAL","F","HR",1985,2419923
"5251","TOTAL","F","HU",1985,5508088
"5252","TOTAL","F","IE",1985,1767300
"5253","TOTAL","F","IS",1985,119569
"5254","TOTAL","F","IT",1985,29087244
"5255","TOTAL","F","LI",1985,13602
"5256","TOTAL","F","LT",1985,1866667
"5257","TOTAL","F","LU",1985,188100
"5258","TOTAL","F","LV",1985,1382940
"5259","TOTAL","F","MC",1985,NA
"5260","TOTAL","F","MD",1985,NA
"5261","TOTAL","F","ME",1985,NA
"5262","TOTAL","F","MK",1985,NA
"5263","TOTAL","F","MT",1985,170529
"5264","TOTAL","F","NL",1985,7304213
"5265","TOTAL","F","NO",1985,2095753
"5266","TOTAL","F","PL",1985,18989503
"5267","TOTAL","F","PT",1985,5186083
"5268","TOTAL","F","RO",1985,11492093
"5269","TOTAL","F","RS",1985,NA
"5270","TOTAL","F","RU",1985,NA
"5271","TOTAL","F","SE",1985,4222078
"5272","TOTAL","F","SI",1985,996163
"5273","TOTAL","F","SK",1985,2621022
"5274","TOTAL","F","SM",1985,NA
"5275","TOTAL","F","TR",1985,24493659
"5276","TOTAL","F","UA",1985,NA
"5277","TOTAL","F","UK",1985,29026946
"5278","TOTAL","F","XK",1985,NA
"5279","TOTAL","M","AD",1985,NA
"5280","TOTAL","M","AL",1985,NA
"5281","TOTAL","M","AM",1985,NA
"5282","TOTAL","M","AT",1985,3588116
"5283","TOTAL","M","AZ",1985,NA
"5284","TOTAL","M","BA",1985,NA
"5285","TOTAL","M","BE",1985,4811558
"5286","TOTAL","M","BG",1985,4456401
"5287","TOTAL","M","BY",1985,NA
"5288","TOTAL","M","CH",1985,3145258
"5289","TOTAL","M","CY",1985,267968
"5290","TOTAL","M","CZ",1985,5014254
"5291","TOTAL","M","DE",1985,29179721
"5292","TOTAL","M","DE_TOT",1985,37048127
"5293","TOTAL","M","DK",1985,2517072
"5294","TOTAL","M","EA18",1985,145629661
"5295","TOTAL","M","EA19",1985,NA
"5296","TOTAL","M","EE",1985,708088
"5297","TOTAL","M","EEA30",1985,227457289
"5298","TOTAL","M","EEA31",1985,229728349
"5299","TOTAL","M","EFTA",1985,5329465
"5300","TOTAL","M","EL",1985,4879400
"5301","TOTAL","M","ES",1985,18820211
"5302","TOTAL","M","EU27",1985,225273082
"5303","TOTAL","M","EU28",1985,227544142
"5304","TOTAL","M","FI",1985,2369228
"5305","TOTAL","M","FR",1985,NA
"5306","TOTAL","M","FX",1985,26890120
"5307","TOTAL","M","GE",1985,NA
"5308","TOTAL","M","HR",1985,2271060
"5309","TOTAL","M","HU",1985,5149332
"5310","TOTAL","M","IE",1985,1774746
"5311","TOTAL","M","IS",1985,121037
"5312","TOTAL","M","IT",1985,27501075
"5313","TOTAL","M","LI",1985,13078
"5314","TOTAL","M","LT",1985,1662031
"5315","TOTAL","M","LU",1985,178102
"5316","TOTAL","M","LV",1985,1187090
"5317","TOTAL","M","MC",1985,NA
"5318","TOTAL","M","MD",1985,NA
"5319","TOTAL","M","ME",1985,NA
"5320","TOTAL","M","MK",1985,NA
"5321","TOTAL","M","MT",1985,161468
"5322","TOTAL","M","NL",1985,7149620
"5323","TOTAL","M","NO",1985,2050092
"5324","TOTAL","M","PL",1985,18073800
"5325","TOTAL","M","PT",1985,4830522
"5326","TOTAL","M","RO",1985,11195281
"5327","TOTAL","M","RS",1985,NA
"5328","TOTAL","M","RU",1985,NA
"5329","TOTAL","M","SE",1985,4120555
"5330","TOTAL","M","SI",1985,940676
"5331","TOTAL","M","SK",1985,2523546
"5332","TOTAL","M","SM",1985,NA
"5333","TOTAL","M","TR",1985,25169299
"5334","TOTAL","M","UA",1985,NA
"5335","TOTAL","M","UK",1985,27454695
"5336","TOTAL","M","XK",1985,NA
"5337","TOTAL","T","AD",1985,NA
"5338","TOTAL","T","AL",1985,2936177
"5339","TOTAL","T","AM",1985,NA
"5340","TOTAL","T","AT",1985,7563233
"5341","TOTAL","T","AZ",1985,NA
"5342","TOTAL","T","BA",1985,4293863
"5343","TOTAL","T","BE",1985,9857721
"5344","TOTAL","T","BG",1985,8971214
"5345","TOTAL","T","BY",1985,NA
"5346","TOTAL","T","CH",1985,6455896
"5347","TOTAL","T","CY",1985,538397
"5348","TOTAL","T","CZ",1985,10333900
"5349","TOTAL","T","DE",1985,61049256
"5350","TOTAL","T","DE_TOT",1985,77709213
"5351","TOTAL","T","DK",1985,5111108
"5352","TOTAL","T","EA18",1985,300466031
"5353","TOTAL","T","EA19",1985,NA
"5354","TOTAL","T","EE",1985,1523486
"5355","TOTAL","T","EEA30",1985,468056453
"5356","TOTAL","T","EEA31",1985,472747436
"5357","TOTAL","T","EFTA",1985,10869027
"5358","TOTAL","T","EL",1985,9919500
"5359","TOTAL","T","ES",1985,38352991
"5360","TOTAL","T","EU27",1985,463643322
"5361","TOTAL","T","EU28",1985,468334305
"5362","TOTAL","T","FI",1985,4893748
"5363","TOTAL","T","FR",1985,NA
"5364","TOTAL","T","FX",1985,55157303
"5365","TOTAL","T","GE",1985,NA
"5366","TOTAL","T","HR",1985,4690983
"5367","TOTAL","T","HU",1985,10657420
"5368","TOTAL","T","IE",1985,3542046
"5369","TOTAL","T","IS",1985,240606
"5370","TOTAL","T","IT",1985,56588319
"5371","TOTAL","T","LI",1985,26680
"5372","TOTAL","T","LT",1985,3528698
"5373","TOTAL","T","LU",1985,366202
"5374","TOTAL","T","LV",1985,2570030
"5375","TOTAL","T","MC",1985,NA
"5376","TOTAL","T","MD",1985,NA
"5377","TOTAL","T","ME",1985,NA
"5378","TOTAL","T","MK",1985,2004709
"5379","TOTAL","T","MT",1985,331997
"5380","TOTAL","T","NL",1985,14453833
"5381","TOTAL","T","NO",1985,4145845
"5382","TOTAL","T","PL",1985,37063303
"5383","TOTAL","T","PT",1985,10016605
"5384","TOTAL","T","RO",1985,22687374
"5385","TOTAL","T","RS",1985,NA
"5386","TOTAL","T","RU",1985,NA
"5387","TOTAL","T","SE",1985,8342633
"5388","TOTAL","T","SI",1985,1936839
"5389","TOTAL","T","SK",1985,5144568
"5390","TOTAL","T","SM",1985,NA
"5391","TOTAL","T","TR",1985,49662958
"5392","TOTAL","T","UA",1985,NA
"5393","TOTAL","T","UK",1985,56481641
"5394","TOTAL","T","XK",1985,NA
"5395","TOTAL","F","AD",1984,NA
"5396","TOTAL","F","AL",1984,NA
"5397","TOTAL","F","AM",1984,NA
"5398","TOTAL","F","AT",1984,3976213
"5399","TOTAL","F","AZ",1984,NA
"5400","TOTAL","F","BA",1984,NA
"5401","TOTAL","F","BE",1984,5043503
"5402","TOTAL","F","BG",1984,4500629
"5403","TOTAL","F","BY",1984,NA
"5404","TOTAL","F","CH",1984,3297473
"5405","TOTAL","F","CY",1984,267102
"5406","TOTAL","F","CZ",1984,5317388
"5407","TOTAL","F","DE",1984,32000881
"5408","TOTAL","F","DE_TOT",1984,40825410
"5409","TOTAL","F","DK",1984,2594188
"5410","TOTAL","F","EA18",1984,154614022
"5411","TOTAL","F","EA19",1984,NA
"5412","TOTAL","F","EE",1984,810533
"5413","TOTAL","F","EEA30",1984,NA
"5414","TOTAL","F","EEA31",1984,NA
"5415","TOTAL","F","EFTA",1984,5518274
"5416","TOTAL","F","EL",1984,5017620
"5417","TOTAL","F","ES",1984,19455562
"5418","TOTAL","F","EU27",1984,NA
"5419","TOTAL","F","EU28",1984,NA
"5420","TOTAL","F","FI",1984,2512686
"5421","TOTAL","F","FR",1984,NA
"5422","TOTAL","F","FX",1984,28117576
"5423","TOTAL","F","GE",1984,NA
"5424","TOTAL","F","HR",1984,2409164
"5425","TOTAL","F","HU",1984,5515266
"5426","TOTAL","F","IE",1984,1756700
"5427","TOTAL","F","IS",1984,118447
"5428","TOTAL","F","IT",1984,29069034
"5429","TOTAL","F","LI",1984,13520
"5430","TOTAL","F","LT",1984,1852487
"5431","TOTAL","F","LU",1984,187877
"5432","TOTAL","F","LV",1984,1375340
"5433","TOTAL","F","MC",1984,NA
"5434","TOTAL","F","MD",1984,NA
"5435","TOTAL","F","ME",1984,NA
"5436","TOTAL","F","MK",1984,NA
"5437","TOTAL","F","MT",1984,169276
"5438","TOTAL","F","NL",1984,7270437
"5439","TOTAL","F","NO",1984,2088834
"5440","TOTAL","F","PL",1984,NA
"5441","TOTAL","F","PT",1984,5165938
"5442","TOTAL","F","RO",1984,11444508
"5443","TOTAL","F","RS",1984,NA
"5444","TOTAL","F","RU",1984,NA
"5445","TOTAL","F","SE",1984,4214437
"5446","TOTAL","F","SI",1984,991397
"5447","TOTAL","F","SK",1984,2601818
"5448","TOTAL","F","SM",1984,NA
"5449","TOTAL","F","TR",1984,23861687
"5450","TOTAL","F","UA",1984,NA
"5451","TOTAL","F","UK",1984,28966475
"5452","TOTAL","F","XK",1984,NA
"5453","TOTAL","M","AD",1984,NA
"5454","TOTAL","M","AL",1984,NA
"5455","TOTAL","M","AM",1984,NA
"5456","TOTAL","M","AT",1984,3583422
"5457","TOTAL","M","AZ",1984,NA
"5458","TOTAL","M","BA",1984,NA
"5459","TOTAL","M","BE",1984,4809520
"5460","TOTAL","M","BG",1984,4449515
"5461","TOTAL","M","BY",1984,NA
"5462","TOTAL","M","CH",1984,3130360
"5463","TOTAL","M","CY",1984,264416
"5464","TOTAL","M","CZ",1984,5009138
"5465","TOTAL","M","DE",1984,29305788
"5466","TOTAL","M","DE_TOT",1984,37182746
"5467","TOTAL","M","DK",1984,2517942
"5468","TOTAL","M","EA18",1984,145437536
"5469","TOTAL","M","EA19",1984,NA
"5470","TOTAL","M","EE",1984,703214
"5471","TOTAL","M","EEA30",1984,NA
"5472","TOTAL","M","EEA31",1984,NA
"5473","TOTAL","M","EFTA",1984,5308840
"5474","TOTAL","M","EL",1984,4854482
"5475","TOTAL","M","ES",1984,18748597
"5476","TOTAL","M","EU27",1984,NA
"5477","TOTAL","M","EU28",1984,NA
"5478","TOTAL","M","FI",1984,2357172
"5479","TOTAL","M","FR",1984,NA
"5480","TOTAL","M","FX",1984,26777278
"5481","TOTAL","M","GE",1984,NA
"5482","TOTAL","M","HR",1984,2260423
"5483","TOTAL","M","HU",1984,5163504
"5484","TOTAL","M","IE",1984,1766100
"5485","TOTAL","M","IS",1984,119969
"5486","TOTAL","M","IT",1984,27496083
"5487","TOTAL","M","LI",1984,12992
"5488","TOTAL","M","LT",1984,1647224
"5489","TOTAL","M","LU",1984,177917
"5490","TOTAL","M","LV",1984,1178723
"5491","TOTAL","M","MC",1984,NA
"5492","TOTAL","M","MD",1984,NA
"5493","TOTAL","M","ME",1984,NA
"5494","TOTAL","M","MK",1984,NA
"5495","TOTAL","M","MT",1984,159913
"5496","TOTAL","M","NL",1984,7124152
"5497","TOTAL","M","NO",1984,2045519
"5498","TOTAL","M","PL",1984,NA
"5499","TOTAL","M","PT",1984,4809921
"5500","TOTAL","M","RO",1984,11149212
"5501","TOTAL","M","RS",1984,NA
"5502","TOTAL","M","RU",1984,NA
"5503","TOTAL","M","SE",1984,4116140
"5504","TOTAL","M","SI",1984,936072
"5505","TOTAL","M","SK",1984,2507808
"5506","TOTAL","M","SM",1984,NA
"5507","TOTAL","M","TR",1984,24540002
"5508","TOTAL","M","UA",1984,NA
"5509","TOTAL","M","UK",1984,27396027
"5510","TOTAL","M","XK",1984,NA
"5511","TOTAL","T","AD",1984,NA
"5512","TOTAL","T","AL",1984,2872681
"5513","TOTAL","T","AM",1984,NA
"5514","TOTAL","T","AT",1984,7559635
"5515","TOTAL","T","AZ",1984,NA
"5516","TOTAL","T","BA",1984,4248746
"5517","TOTAL","T","BE",1984,9853023
"5518","TOTAL","T","BG",1984,8950144
"5519","TOTAL","T","BY",1984,NA
"5520","TOTAL","T","CH",1984,6427833
"5521","TOTAL","T","CY",1984,531518
"5522","TOTAL","T","CZ",1984,10326526
"5523","TOTAL","T","DE",1984,61306669
"5524","TOTAL","T","DE_TOT",1984,78008156
"5525","TOTAL","T","DK",1984,5112130
"5526","TOTAL","T","EA18",1984,300051558
"5527","TOTAL","T","EA19",1984,NA
"5528","TOTAL","T","EE",1984,1513747
"5529","TOTAL","T","EEA30",1984,467049883
"5530","TOTAL","T","EEA31",1984,471719470
"5531","TOTAL","T","EFTA",1984,10827114
"5532","TOTAL","T","EL",1984,9872102
"5533","TOTAL","T","ES",1984,38204159
"5534","TOTAL","T","EU27",1984,462650602
"5535","TOTAL","T","EU28",1984,467320189
"5536","TOTAL","T","FI",1984,4869858
"5537","TOTAL","T","FR",1984,NA
"5538","TOTAL","T","FX",1984,54894854
"5539","TOTAL","T","GE",1984,NA
"5540","TOTAL","T","HR",1984,4669587
"5541","TOTAL","T","HU",1984,10678770
"5542","TOTAL","T","IE",1984,3522800
"5543","TOTAL","T","IS",1984,238416
"5544","TOTAL","T","IT",1984,56565117
"5545","TOTAL","T","LI",1984,26512
"5546","TOTAL","T","LT",1984,3499711
"5547","TOTAL","T","LU",1984,365794
"5548","TOTAL","T","LV",1984,2554063
"5549","TOTAL","T","MC",1984,NA
"5550","TOTAL","T","MD",1984,NA
"5551","TOTAL","T","ME",1984,NA
"5552","TOTAL","T","MK",1984,1980139
"5553","TOTAL","T","MT",1984,329189
"5554","TOTAL","T","NL",1984,14394589
"5555","TOTAL","T","NO",1984,4134353
"5556","TOTAL","T","PL",1984,36744964
"5557","TOTAL","T","PT",1984,9975859
"5558","TOTAL","T","RO",1984,22593720
"5559","TOTAL","T","RS",1984,NA
"5560","TOTAL","T","RU",1984,NA
"5561","TOTAL","T","SE",1984,8330577
"5562","TOTAL","T","SI",1984,1927469
"5563","TOTAL","T","SK",1984,5109626
"5564","TOTAL","T","SM",1984,NA
"5565","TOTAL","T","TR",1984,48401689
"5566","TOTAL","T","UA",1984,NA
"5567","TOTAL","T","UK",1984,56362502
