Age;Year;Fertility_Rate
49;2004;0,00000
49;2005;0,00003
49;2006;0,00010
49;2007;0,00000
49;2008;0,00003
49;2009;0,00006
49;2010;0,00006
49;2011;0,00012
49;2012;0,00015
49;2013;0,00018
49;2014;0,00017
